ID,Slug,Title,Year,Director,Hero,Heroine,Category,Music_Director
59f04365-857c-4407-9fad-28d4f4837aac,uu-kodathara-ulikki-padathara-2012,"Uu Kodathara Ulikki Padathara",2012,"Sekhar Raja","Manchu Manoj","Deeksha Seth",Telugu Mainstream,
c1533996-8bec-4ce4-a0aa-588d2638c41b,thimmaraju-2011,"Thimmaraju",2011,"Vijay Krishna","Sai Kumar","Bhanu Sri Mehra",Telugu Mainstream,
cf61ae07-95e8-4f44-8bb0-b71f1c3d01b1,karalu-miriyalu-2011,"Karalu Miriyalu",2011,"Ramesh Prasad","Sai Kiran","Roja",Telugu Mainstream,
5cd8b5da-c6cc-4acc-822a-361acc6e6803,kalabha-mazha-2011,"Kalabha Mazha",2011,"P. Bhaskaran","Sreejith Vijay","Devika",Telugu Mainstream,
7ab6b306-b56b-4845-80a6-fe50497e80ff,kodipunju-2011,"Kodipunju",2011,"B. V. V. Choudary","Tanish","Anchal",Telugu Mainstream,
07dccfcb-1c24-4287-a7fe-7d258d29ed3b,bhairava-ips-2010,"Bhairava Ips",2010,"Polur Ghatikachalam","Srihari","Mumaith Khan",Telugu Mainstream,
65a55de8-df97-48e9-a59e-68be89624bf6,chalaki-2010,"Chalaki",2010,"M. Mahadev","Sai Ram Shankar","Roma",Telugu Mainstream,
ecf16f8f-b7fc-46fb-89a7-ea807b8b3e37,sandadi-2010,"Sandadi",2010,"Jagadish","Raja","Ghazal Thakur",Telugu Mainstream,
04023c6d-28b3-4477-b350-1ce943a9cbcd,anaganaga-oka-aranyam-2010,"Anaganaga Oka Aranyam",2010,"G. Shekhar Chandra","Kaushal","Srirekha",Telugu Mainstream,
d44e9c68-fbdf-40b2-a1b7-e14626e019f8,aunty-uncle-nandagopal-2010,"Aunty Uncle Nandagopal",2010,"Satyam","Srikanth","Meera Jasmine",Telugu Mainstream,
42c05bd4-bd8e-4138-bb76-b60b35003057,prema-rajyam-2010,"Prema Rajyam",2010,"Moolapati","Ramkiran","Meerakrishna",Telugu Mainstream,
b9658c6c-b2b2-4101-8b1d-6d583eeac118,my-name-is-amrutha-2010,"My Name Is Amrutha",2010,"Venkat Gouni","Bhanuchander","Keerthi",Telugu Mainstream,
068a1a2d-d1fa-497d-abd7-27cb9caea0ad,udatha-udatha-ooch-2010,"Udatha Udatha Ooch",2010,"Murali Ganesh","Chitram Seenu","Akshay",Telugu Mainstream,
699f91f3-7883-479d-a0e8-f736bcb98ca0,mental-krishna-2009,"Mental Krishna",2009,"Posani Krishna Murali","Posani Krishna Murali","Satya Krishnan",Telugu Mainstream,
9b4132f0-deba-45cb-80b6-508b68027afc,sontha-ooru-2009,"Sontha ooru",2009,"P. Sunil Kumar Reddy","Raja","Thirtha",Telugu Mainstream,
1d75eca0-943b-463f-b910-5882705d5172,call-center-2008,"Call Center",2008,"Kanmani","Vamsi Krishna","Luna Seid",Telugu Mainstream,
3f9ce086-d6a5-4781-9cc4-566bbcefef84,bhadradri-2008,"Bhadradri",2008,"Mallikarjun","Srihari","Gajala",Telugu Mainstream,
6e24e19e-d2de-406f-bbc4-ba07cff01d8e,abbo-aadavallu-2008,"Abbo Aadavallu",2008,"T.N. Raju","Sailesh","Vanitha Reddy",Telugu Mainstream,
32836bf9-8580-4b66-b3b1-d83d3578becf,highway-2008,"Highway",2008,"Kovvi Kalya Krishna","Aditya Om","Vedika",Telugu Mainstream,
e03abbf0-7a48-4b11-8445-9146de60c25f,premabandham-2008,"Premabandham",2008,"Siva Nagu","Varun Sandesh","Pavani",Telugu Mainstream,
acfaa5bb-af3c-448d-81fc-22836c803a5d,kshudra-2008,"Kshudra",2008,"Nagul","Satya Prakash","Ramya Krishnan",Telugu Mainstream,
7f5b0d57-d9b5-41ef-a7ad-c76089b266e1,adhyakshaa-2008,"Adhyakshaa",2008,"Marudhuri Raja","Brahmaji","Aishwarya",Telugu Mainstream,
916f04d4-0581-4093-bc41-edc3324114ad,buddha-2008,"Buddha",2008,"Prakash","Suresh Gopi","Anu Emmanuel",Telugu Mainstream,
0460713f-881f-4191-bcbf-7d3558ba549f,konchem-kothaga-2008,"Konchem Kothaga",2008,"Raju Rajendra Prasad","Venkat","Tulip Joshi",Telugu Mainstream,
e5305244-d92d-4386-8843-15da51f65022,sunny-2007,"Sunny",2007,"Kamalakar","Kamalakar","Abhirami",Telugu Mainstream,
1fa282bc-edcb-4f29-af35-389358bda5a1,bhajantrilu-2007,"Bhajantrilu",2007,"M. S. Narayana","Sivaji","Raasi",Telugu Mainstream,
92be9ad7-8eae-4679-91a0-20762603197e,deha-2007,"Deha",2007,"Mahesh Manjrekar","Mahesh Manjrekar","Amrita Arora",Telugu Mainstream,
cafa6e53-8db1-4282-96ed-30ab50a26712,thrill-2006,"Thrill",2006,"K. Veeru","Venkat","Ruthika",Telugu Mainstream,
d2f8459d-d2f8-4405-812d-7f7b17c966ab,abhaddam-2006,"Abhaddam",2006,"Raviraja","Shanvi","Nayana",Telugu Mainstream,
d238319c-e873-4bed-a5f3-12794032ae82,nuvve-2006,"Nuvve",2006,"Veera Shankar","Tarun","Shriya Saran",Telugu Mainstream,
48b01f96-44c2-4673-adc4-e2ec88c2a0b2,hanumanthu-2006,"Hanumanthu",2006,"Chandra Mahesh","Srihari","K.R. Vijaya",Telugu Mainstream,
eb94ce07-0297-4e44-8bd2-4c05dec84738,shyam-prasad-2006,"Shyam Prasad",2006,"Ravi Vaarla","Srikanth","Ooha",Telugu Mainstream,
9e93f317-38e2-47c8-b176-c504dda1203a,mahasadhvi-mallamma-2005,"Mahasadhvi Mallamma",2005,"Renuka Sharma","Rajendra Prasad","Meena",Telugu Mainstream,
8218eff9-b45b-4da6-8bd8-ec34629afc2e,24-gantalu-2004,"24 Gantalu",2004,"D. S. Rao","Krishna","Suhasini",Telugu Mainstream,
b9fa13d1-6932-45c4-a8ef-c22697ba8227,cbi-officer-2004,"CBI Officer",2004,"Shiva","Krishna","Suhasini",Telugu Mainstream,
77f4753b-e272-4c17-9949-6ed05774d032,sorry-naku-pellaindi-2004,"Sorry Naku Pellaindi",2004,"Gandhi","Ruthika","Raghu",Telugu Mainstream,
a87fd3ca-05b5-4cfe-a817-5078f4ad6cfe,charminar-2003,"Charminar",2003,"G. Nageswara Reddy","Venkat","Abhirami",Telugu Mainstream,
0a3c3164-f40b-48bc-818b-113fee941d6e,neeke-manasichanu-2003,"Neeke Manasichanu",2003,"Surya Teja","Sarath Babu","Jayanthi",Telugu Mainstream,
e6f187db-8020-4602-a288-09550fe1bad8,pelli-kani-prasad-2003,"Pelli Kani Prasad",2003,"Satyam Babu","Sivaji","Sridevi Vijaykumar",Telugu Mainstream,
8bc27a5e-d965-4356-a9d5-de142677deb0,city-2003,"City",2003,"Nagendra","Saikumar","Ankita",Telugu Mainstream,
96331011-4406-4a10-83b4-e6f7b4311ddd,vachina-vaadu-suryudu-2002,"Vachina Vaadu Suryudu",2002,"Krisha, Lakshmana Swamy, Vijayachander, Rahul, Lahari","Srikanth","Raasi",Telugu Mainstream,
dba404be-c1e3-47b1-af59-a44286183907,the-rite-a-passion-2002,"Thilaadanam",2002,"K.N.T. Sastry","Jaya Sheela","Brahmaji",Telugu Mainstream,
272eefa0-0bb3-450d-ba61-86a91844e7c1,repallelo-radha-2001,"Repallelo Radha",2001,"Saritha","Brahmanandam","Dileep",Telugu Mainstream,
917ac86e-d559-486e-a57c-d89aedc43c4d,atu-america-itu-india-2001,"Atu America Itu India",2001,"Gummaluri Shastry","Sunny","Vanessa",Telugu Mainstream,
863ad6f1-6b43-4e86-bd23-84999161ef4b,time-pass-2001,"Time Pass",2001,"V. Anand","Ajay","Radhika",Telugu Mainstream,
f6da2394-2e98-42d6-8d91-0af229a389ed,chiranjeevulu-2001,"Chiranjeevulu",2001,"Radha Krishna","Ravi Teja","Sanghavi",Telugu Mainstream,
a44bc34f-c414-4a71-838d-ac883a843ff2,muthyam-2001,"Muthyam",2001,"Jeevitha","Srikanth","Rachana",Telugu Mainstream,
1aee18d1-eac0-4f2a-9a09-1e7f21931d99,wife-2001,"Wife",2001,"Ravipalli Rambabu","Sivaji","Laya",Telugu Mainstream,
09544cb2-8350-40b5-9ffb-51036acf3256,kauravudu-2000,"Kauravudu",2000,"Jyothi Kumar","B. C. Patil","Prema",Telugu Mainstream,
76f52f3c-50c5-4d4a-9d25-c6dbe151aeca,yee-taram-nehru-2000,"Yee Taram Nehru",2000,"Shiva","Krishna","Prema",Telugu Mainstream,
8ebbc13b-e4f6-4764-83de-7d13bcf0fb12,college-2000,"College",2000,"Ravi Chavali","Sivaji","Manya",Telugu Mainstream,
d887cb47-0f82-47dc-82bd-d17d8b2d40c6,manasichanu-2000,"Manasichanu",2000,"Pramod Kumar","Ravi Teja","Manya",Telugu Mainstream,
2898c6f9-f61a-4c7b-8c61-17cfe585d1ac,ramasakkanodu-1999,"Ramasakkanodu",1999,"B. Satyanarayana","Suman","Maheswari",Telugu Mainstream,
cf0697d8-aa6c-44ea-9454-957600f199c7,sambayya-1999,"Sambayya",1999,"K. S. Nageswara Rao","Srihari","Roja",Telugu Mainstream,
71c2f3fe-6d37-4c28-9a88-76e18e227017,hello-yama-1999,"Hello...yama!",1998,"Pavithran","Suresh","Kota Srinivasa Rao",Telugu Mainstream,
64d131e2-77ff-4b91-8174-b54c336b6f44,yagnam-1992,"Yagnam",1992,"Gopal B","Prakash Raj","Bhanupriya",Telugu Mainstream,
7cb76e20-fc7a-4322-afdb-cce858444068,naa-pellam-naa-ishtam-1991,"Naa Pellam Naa Ishtam",1991,"Gedhada Anandbabu","Naresh","Vijaya Rekha",Telugu Mainstream,
0cf9ff1c-1ec5-46a4-842f-3099c0daf2f3,rajasekhar-1990,"Rajasekhar",1990,"K. S. Prakash Rao","Rajasekhar","Malashri",Telugu Mainstream,
bc766693-9002-4bad-9e34-1a89051ffc4b,padaharella-ammayi-1986,"Padaharella Ammayi",1986,"P.S. Krishna Mohan Reddy","Rajendra Prasad","Sudha",Telugu Mainstream,
4741b560-53b0-4361-bf96-9d45a1de543c,ee-charithra-ye-siratho-1982,"Ee Charithra Ye Siratho",1982,"Vejella Satyanarayana","Siva Krishna","Rajya Lakshmi",Telugu Mainstream,
44618a6d-f256-42e8-a5ce-69491d6d38d0,ee-charitra-ae-sirato-1982,"Ee Charitra Ae Sirato",1982,"Vejalla Satyanarayana","Shiva Krishna","Rajya Lakshmi",Telugu Mainstream,
504af9a6-ff3f-4782-bab2-a74881c51e59,chinna-mul-peria-mul-1982,"Chinna Mul Peria Mul",1982,"N. S. Rajbharath","Tamil Mani","Santhi",Telugu Mainstream,
4abb8e60-5978-46f4-8e49-b176190f1efa,bairisetty-bhaskara-rao-1982,"Bairisetty Bhaskara Rao",1982,"Bairisetty Bhaskara Rao","Vijayachander","No Female Lead",Telugu Mainstream,
0a0d8345-02a7-4343-ada9-89ea66b5f912,agni-sanskaram-1980,"Agni Sanskaram",1980,"G. V. Prabhakar","Gummadi","Sumalatha",Telugu Mainstream,
53e148bc-afb8-4f2b-a8d0-ec5d84624991,rowdy-rangamma-1978,"Rowdy Rangamma",1978,"Vijay Singh","Vijaya Lalitha","Vijaya Lalitha",Telugu Mainstream,
a4070b32-f2db-45f4-9bcf-d030d3445318,cinema-vaibhavam-1975,"Cinema Vaibhavam",1975,"Multiple Directors","Ensemble Cast","Savitri",Telugu Mainstream,
ab1feaaf-e4e9-426a-be96-09f0ee6e6280,challani-thalli-1975,"Challani Thalli",1975,"K.S. Rami Reddy","Vijayakanth","Srividya",Telugu Mainstream,
e3dc33cd-3ffe-4fb9-bc32-084ad9c5b991,poovanam-1969,"Poovanam",1969,"Shyam Benegal","Sobhan Babu","Krishna Kumari",Telugu Mainstream,
5959739b-7f60-4bc6-8e72-b3e7b0973b8d,padma-shri-1968,"Padma Shri",1968,"Vikram Pradhan","Akkineni Nageswara Rao","Vijaya Nirmala",Telugu Mainstream,
81c9bbab-09bc-46e7-bb31-d25757ac50d3,dwapayana-kaivalyam-1967,"Dwapayana Kaivalyam",1967,"G.K. Brahmanandam","Tadepalli Lakshmi Kanta Rao","Rajasree",Telugu Mainstream,
fd95111f-3263-4823-acc8-f8a46cf5ef6c,pativrata-1964,"Pativrata",1964,"Chitrapu Narayana Rao","Chalam","Devika",Telugu Mainstream,
a93335d3-f7a1-408e-a1ac-3bd6eb25e1f9,sipayi-koothuru-1959,"Sipayi Koothuru",1959,"P. Chengaiah","Jamuna","Suryakantham",Telugu Mainstream,
d2fbe40e-6a9c-40a3-9a78-2785bb65cccd,parvathi-kalyanam-1958,"Parvathi Kalyanam",1958,"K. Bhaskar Rao","Balayya","Krishna Kumari",Telugu Mainstream,
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,padhi-bhakti-1958,"Padhi Bhakti",1958,"A. Bhimsingh","Sivaji Ganesan","Savitri",Telugu Mainstream,
9da1ac74-266e-4b78-949f-610c3da50f91,dhampathyam-1957,"Dhampathyam",1957,"E. Apparao","Gummadi","G. Varalakshmi",Telugu Mainstream,
bd6e2df8-fb5b-40e0-be06-325f1a773b22,dongallo-dora-1957,"Dongallo Dora",1957,"P. Chengaiah","Akkineni Nageswara Rao","Jamuna",Telugu Mainstream,
facb4bf6-48a4-4901-aebf-b638491e8cc3,nala-damayanthi-1957,"Nala Damayanthi",1957,"Kemparaj Urs","Kemparaj Urs","P. Bhanumathi",Telugu Mainstream,
8c7460d1-4759-4dc7-9a04-da91dcda177f,naga-panchami-1956,"Naga Panchami",1956,"K. Nagabhushanam","Anjali Devi","S. Varalakshmi",Telugu Mainstream,
8bec6386-1188-46e3-aa9c-b2789a2366c3,sonta-ooru-1956,"Sonta Ooru",1956,"E. J. Babu","N. T. Rama Rao","Sowkar Janaki",Telugu Mainstream,
f6069bac-c8e0-43a6-9742-22cd0cb22ac1,adarsham-1952,"Adarsham",1952,"H. V. Babu","Kongara Jaggaiah","Savitri",Telugu Mainstream,
61513292-3143-4b31-9957-d15dd2ef2b7b,navvithe-navaratnalu-1951,"Navvithe Navaratnalu",1951,"S. Soundararajan","Rama Sharma","Krishna Kumari",Telugu Mainstream,
4f2f6f95-2777-404d-b0e5-1082052ee896,adhrusta-deepudu-1950,"Adhrusta Deepudu",1950,"S. Soundararajan","Rama Sharma","T. Suryakumari",Telugu Mainstream,
